SpEffect    Flag    Name

1047610101 Change

# Heavy
9402028   1047600028   Bull-Goat Set [Head]
9402029   1047600029   Bull-Goat Set [Body]
9402112   1047600112   Fire Prelate Set [Head]
9402113   1047600113   Fire Prelate Set [Body]
9402114   1047600114   Fire Prelate Set (Altered) [Head]
9402115   1047600115   Fire Prelate Set (Altered) [Body]
9402300   1047600300   Omen Set [Head]
9402301   1047600301   Omen Set [Body]
9402176   1047600176   Lionel's Set [Head]
9402177   1047600177   Lionel's Set [Body]
9402178   1047600178   Lionel's Set (Altered) [Head]
9402179   1047600179   Lionel's Set (Altered) [Body]
9402072   1047600072   Tree Sentinel Set [Head]
9402073   1047600073   Tree Sentinel Set [Body]
9402074   1047600074   Tree Sentinel Set (Altered) [Head]
9402075   1047600075   Tree Sentinel Set (Altered) [Body]
9402220   1047600220   Veteran's Set [Head]
9402221   1047600221   Veteran's Set [Body]
9402222   1047600222   Veteran's Set (Altered) [Head]
9402223   1047600223   Veteran's Set (Altered) [Body]
9402203   1047600203   Beast Champion Set [Head]
9402204   1047600204   Beast Champion Set [Body]
9402205   1047600205   Beast Champion Set (Altered) [Head]
9402206   1047600206   Beast Champion Set (Altered) [Body]
9402046   1047600046   Banished Knight Set [Head]
9402047   1047600047   Banished Knight Set [Body]
9402048   1047600048   Banished Knight Set (Altered) [Head]
9402049   1047600049   Banished Knight Set (Altered) [Body]
9402131   1047600131   General Radahn's Set [Head]
9402132   1047600132   General Radahn's Set [Body]
9402133   1047600133   General Radahn's Set (Altered) [Head]
9402134   1047600134   General Radahn's Set (Altered) [Body]
9402070   1047600070   Malformed Dragon Set [Head]
9402071   1047600071   Malformed Dragon Set [Body]
9402008   1047600008   Scaled Set [Head]
9402009   1047600009   Scaled Set [Body]
9402010   1047600010   Scaled Set (Altered) [Head]
9402011   1047600011   Scaled Set (Altered) [Body]
9402145   1047600145   Crucible Axe Set [Head]
9402146   1047600146   Crucible Axe Set [Body]
9402147   1047600147   Crucible Axe Set (Altered) [Head]
9402148   1047600148   Crucible Axe Set (Altered) [Body]
9402149   1047600149   Crucible Tree Set [Head]
9402150   1047600150   Crucible Tree Set [Body]
9402076   1047600076   Royal Knight Set [Head]
9402077   1047600077   Royal Knight Set [Body]
9402078   1047600078   Royal Knight Set (Altered) [Head]
9402079   1047600079   Royal Knight Set (Altered) [Body]
9402104   1047600104   Cleanrot Set [Head]
9402105   1047600105   Cleanrot Set [Body]
9402106   1047600106   Cleanrot Set (Altered) [Head]
9402107   1047600107   Cleanrot Set (Altered) [Body]
9402036   1047600036   Blaidd's Set [Head]
9402037   1047600037   Blaidd's Set [Body]
9402038   1047600038   Blaidd's Set (Altered) [Head]
9402039   1047600039   Blaidd's Set (Altered) [Body]
9402058   1047600058   Night's Cavalry Set [Head]
9402059   1047600059   Night's Cavalry Set [Body]
9402060   1047600060   Night's Cavalry Set (Altered) [Head]
9402061   1047600061   Night's Cavalry Set (Altered) [Body]
9402212   1047600212   Maliketh's Set [Head]
9402213   1047600213   Maliketh's Set [Body]
9402214   1047600214   Maliketh's Set (Altered) [Head]
9402215   1047600215   Maliketh's Set (Altered) [Body]
9402159   1047600159   Twinned Set [Head]
9402160   1047600160   Twinned Set [Body]
9402161   1047600161   Twinned Set (Altered) [Head]
