ID,Name,equipId,value,mtrlId,eventFlag_forStock,eventFlag_forRelease,sellQuantity,pad3,equipType,costType,pad1,setNum,value_Add,value_Magnification,iconId,nameMsgId,menuTitleMsgId,menuIconId,pad2
9100000,[Vigil - Weapons] Dagger,1000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100001,[Vigil - Weapons] Black Knife,1010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100002,[Vigil - Weapons] Parrying Dagger,1020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100003,[Vigil - Weapons] Misericorde,1030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100004,[Vigil - Weapons] Reduvia,1040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100005,[Vigil - Weapons] Crystal Knife,1050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100006,[Vigil - Weapons] Celebrant's Sickle,1060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100007,[Vigil - Weapons] Glintstone Kris,1070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100008,[Vigil - Weapons] Scorpion's Stinger,1080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100009,[Vigil - Weapons] Great Knife,1090000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100010,[Vigil - Weapons] Wakizashi,1100000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100011,[Vigil - Weapons] Cinquedea,1110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100012,[Vigil - Weapons] Ivory Sickle,1130000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100013,[Vigil - Weapons] Bloodstained Dagger,1140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100014,[Vigil - Weapons] Erdsteel Dagger,1150000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100015,[Vigil - Weapons] Blade of Calling,1160000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100016,[Vigil - Weapons] Longsword,2000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100017,[Vigil - Weapons] Short Sword,2010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100018,[Vigil - Weapons] Broadsword,2020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100019,[Vigil - Weapons] Lordsworn's Straight Sword,2040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100020,[Vigil - Weapons] Weathered Straight Sword,2050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100021,[Vigil - Weapons] Ornamental Straight Sword,2060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100022,[Vigil - Weapons] Golden Epitaph,2070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100023,[Vigil - Weapons] Nox Flowing Sword,2080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100024,[Vigil - Weapons] Inseparable Sword,2090000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100025,[Vigil - Weapons] Coded Sword,2110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100026,[Vigil - Weapons] Sword of Night and Flame,2140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100027,[Vigil - Weapons] Crystal Sword,2150000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100028,[Vigil - Weapons] Carian Knight's Sword,2180000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100029,[Vigil - Weapons] Sword of St. Trina,2190000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100030,[Vigil - Weapons] Miquellan Knight's Sword,2200000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100031,[Vigil - Weapons] Cane Sword,2210000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100032,[Vigil - Weapons] Regalia of Eochaid,2220000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100033,[Vigil - Weapons] Noble's Slender Sword,2230000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100034,[Vigil - Weapons] Warhawk's Talon,2240000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100035,[Vigil - Weapons] Lazuli Glintstone Sword,2250000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100036,[Vigil - Weapons] Rotten Crystal Sword,2260000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100037,[Vigil - Weapons] Bastard Sword,3000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100038,[Vigil - Weapons] Forked Greatsword,3010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100039,[Vigil - Weapons] Iron Greatsword,3020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100040,[Vigil - Weapons] Lordsworn's Greatsword,3030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100041,[Vigil - Weapons] Knight's Greatsword,3040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100042,[Vigil - Weapons] Flamberge,3050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100043,[Vigil - Weapons] Ordovis's Greatsword,3060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100044,[Vigil - Weapons] Alabaster Lord's Sword,3070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100045,[Vigil - Weapons] Banished Knight's Greatsword,3080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
